team,year,stage,group,pos,m,w,l,t,n_r,pt,nrr,seed
India,2026,Group Stage,A,1,4,4,0,0,0,8,2.5,
Pakistan,2026,Group Stage,A,2,4,3,1,0,0,6,0.976,
USA,2026,Group Stage,A,3,4,2,2,0,0,4,0.788,
Netherlands,2026,Group Stage,A,4,4,1,3,0,0,2,-1.217,
Namibia,2026,Group Stage,A,5,4,0,4,0,0,0,-3.108,
Zimbabwe,2026,Group Stage,B,1,4,3,0,0,1,7,1.506,
Sri Lanka,2026,Group Stage,B,2,4,3,1,0,0,6,1.741,
Australia,2026,Group Stage,B,3,4,2,2,0,0,4,1.523,
Ireland,2026,Group Stage,B,4,4,1,2,0,1,3,0.15,
Oman,2026,Group Stage,B,5,4,0,4,0,0,0,-4.845,
West Indies,2026,Group Stage,C,1,4,4,0,0,0,8,1.874,
England,2026,Group Stage,C,2,4,3,1,0,0,6,0.201,
Scotland,2026,Group Stage,C,3,4,1,3,0,0,2,0.184,
Italy,2026,Group Stage,C,4,4,1,3,0,0,2,-1.02,
Nepal,2026,Group Stage,C,5,4,1,3,0,0,2,-1.349,
South Africa,2026,Group Stage,D,1,4,4,0,0,0,8,1.943,
New Zealand,2026,Group Stage,D,2,4,3,1,0,0,6,1.227,
Afghanistan,2026,Group Stage,D,3,4,2,2,0,0,4,0.889,
UAE,2026,Group Stage,D,4,4,1,3,0,0,2,-1.364,
Canada,2026,Group Stage,D,5,4,0,4,0,0,0,-2.426,
South Africa,2026,Super 8,Group 1,1,3,3,0,0,0,6,2.259,
India,2026,Super 8,Group 1,2,3,2,1,0,0,4,0.106,
West Indies,2026,Super 8,Group 1,3,3,1,2,0,0,2,0.993,
Zimbabwe,2026,Super 8,Group 1,4,3,0,3,0,0,0,-3.415,
England,2026,Super 8,Group 2,1,3,3,0,0,0,6,1.096,
New Zealand,2026,Super 8,Group 2,2,3,1,1,0,1,3,1.39,
Pakistan,2026,Super 8,Group 2,3,3,1,1,0,1,3,-0.123,
Sri Lanka,2026,Super 8,Group 2,4,3,0,3,0,0,0,-1.95,
